source	target	dir	penwidth	style
2aobut_c[c]	AOBUTDs	forward	1	solid
AOBUTDs	aact_c[c]	forward	1	solid
AOBUTDs	co2_c[c]	forward	1	solid
2cpr5p_c[c]	IGPS	forward	1	solid
IGPS	3ig3p_c[c]	forward	1	solid
IGPS	co2_c[c]	forward	1	solid
2dda7p_c[c]	DHQS	forward	1	solid
DHQS	3dhq_c[c]	forward	1	solid
2ddecg3p_c[c]	LPLIPAL2A120	forward	1	solid
LPLIPAL2A120	ddca_c[c]	forward	1	solid
LPLIPAL2A120	glyc3p_c[c]	forward	1	solid
2ddecg3p_p[p]	2AGPA120tipp	forward	1	solid
2AGPA120tipp	2ddecg3p_c[c]	forward	1	solid
2ddg6p_c[c]	EDA	forward	1	solid
EDA	g3p_c[c]	forward	1	solid
EDA	pyr_c[c]	forward	1	solid
2ddglcn_c[c]	DDGLK	forward	1	solid
DDGLK	2ddg6p_c[c]	forward	1	solid
DDGLK	adp_c[c]	forward	1	solid
2ddglcn_e[e]	DDGLCNtex	both	1	solid
DDGLCNtex	2ddglcn_p[p]	both	1	solid
2ddglcn_p[p]	DDGLCNt2rpp	both	1	solid
DDGLCNt2rpp	2ddglcn_c[c]	both	1	solid
2dh3dgal6p_c[c]	DDPGALA	both	1	solid
DDPGALA	g3p_c[c]	both	1	solid
DDPGALA	pyr_c[c]	both	1	solid
2dh3dgal_c[c]	DDGALK	forward	1	solid
DDGALK	2dh3dgal6p_c[c]	forward	1	solid
DDGALK	adp_c[c]	forward	1	solid
2dhglcn_c[c]	2DGLCNRx	forward	1	solid
2DGLCNRx	glcn_c[c]	forward	1	solid
2dhglcn_c[c]	2DGLCNRy	forward	1	solid
2DGLCNRy	glcn_c[c]	forward	1	solid
2DGLCNRx	nad_c[c]	forward	1	solid
2DGLCNRy	nadp_c[c]	forward	1	solid
2dhguln_c[c]	2DGULRx	forward	1	solid
2DGULRx	idon__L_c[c]	forward	1	solid
2dhguln_c[c]	2DGULRy	forward	1	solid
2DGULRy	idon__L_c[c]	forward	1	solid
2DGULRx	nad_c[c]	forward	1	solid
2DGULRy	nadp_c[c]	forward	1	solid
2dhp_c[c]	DPR	forward	1	solid
DPR	nadp_c[c]	forward	1	solid
DPR	pant__R_c[c]	forward	1	solid
2dmmq8_c[c]	G3PD7	forward	1	solid
G3PD7	2dmmql8_c[c]	forward	1	solid
2dmmq8_c[c]	GLYCTO4	forward	1	solid
GLYCTO4	2dmmql8_c[c]	forward	1	solid
2dmmq8_c[c]	HYD3pp	forward	1	solid
HYD3pp	2dmmql8_c[c]	forward	1	solid
2dmmq8_c[c]	NADH18pp	forward	1	solid
NADH18pp	2dmmql8_c[c]	forward	1	solid
2dmmq8_c[c]	NADH9	forward	1	solid
NADH9	2dmmql8_c[c]	forward	1	solid
2dmmq8_c[c]	NADPHQR4	forward	1	solid
NADPHQR4	2dmmql8_c[c]	forward	1	solid
2dmmq8_c[c]	DMSOR2	back	1	solid
DMSOR2	2dmmql8_c[c]	back	1	solid
2dmmq8_c[c]	DMSOR2pp	back	1	solid
DMSOR2pp	2dmmql8_c[c]	back	1	solid
2dmmq8_c[c]	FRD3	back	1	solid
FRD3	2dmmql8_c[c]	back	1	solid
2dmmq8_c[c]	TMAOR2	back	1	solid
TMAOR2	2dmmql8_c[c]	back	1	solid
2dmmq8_c[c]	TMAOR2pp	back	1	solid
TMAOR2pp	2dmmql8_c[c]	back	1	solid
G3PD7	dhap_c[c]	forward	1	solid
GLYCTO4	glx_c[c]	forward	1	solid
NADH18pp	nad_c[c]	forward	1	solid
NADH9	nad_c[c]	forward	1	solid
NADPHQR4	nadp_c[c]	forward	1	solid
2dmmql8_c[c]	AMMQLT8	forward	1	solid
AMMQLT8	ahcys_c[c]	forward	1	solid
DMSOR2	dms_c[c]	forward	1	solid
DMSOR2pp	dms_p[p]	forward	1	solid
AMMQLT8	mql8_c[c]	forward	1	solid
FRD3	succ_c[c]	forward	1	solid
TMAOR2	tma_c[c]	forward	1	solid
TMAOR2pp	tma_p[p]	forward	1	solid
2dr1p_c[c]	PPM2	both	1	solid
PPM2	2dr5p_c[c]	both	1	solid
2dr5p_c[c]	DRPA	forward	1	solid
DRPA	acald_c[c]	forward	1	solid
DRPA	g3p_c[c]	forward	1	solid
2h3oppan_c[c]	TRSARr	both	1	solid
TRSARr	glyc__R_c[c]	both	1	solid
TRSARr	nad_c[c]	both	1	solid
2hdec9eg3p_c[c]	LPLIPAL2A161	forward	1	solid
LPLIPAL2A161	glyc3p_c[c]	forward	1	solid
LPLIPAL2A161	hdcea_c[c]	forward	1	solid
2hdec9eg3p_p[p]	2AGPA161tipp	forward	1	solid
2AGPA161tipp	2hdec9eg3p_c[c]	forward	1	solid
2hdecg3p_c[c]	LPLIPAL2A160	forward	1	solid
LPLIPAL2A160	glyc3p_c[c]	forward	1	solid
LPLIPAL2A160	hdca_c[c]	forward	1	solid
2hdecg3p_p[p]	2AGPA160tipp	forward	1	solid
2AGPA160tipp	2hdecg3p_c[c]	forward	1	solid
2ippm_c[c]	IPPMIb	both	1	solid
IPPMIb	3c3hmp_c[c]	both	1	solid
2kmb_c[c]	UNK3	forward	1	solid
UNK3	akg_c[c]	forward	1	solid
UNK3	met__L_c[c]	forward	1	solid
2mahmp_c[c]	2MAHMP	forward	1	solid
2MAHMP	4ampm_c[c]	forward	1	solid
2mahmp_c[c]	PMPK	back	1	solid
